TransactionID,Amount,Hour,Distance_from_home_km,Distance_from_last_transaction_km,Ratio_to_median_purchase_price,Used_chip,Used_pin,Online_order,Class
TXN108196,111.06,20,0.48,4.49,0.826,0,0,0,0
TXN110508,9.14,13,9.16,4.77,1.48,0,1,1,0
TXN102452,67.17,12,3.72,9.84,2.291,1,0,1,0
TXN103036,38.1,12,4.85,8.86,0.728,1,0,0,0
TXN109121,332.9,10,0.9,15.1,0.413,1,1,1,0
TXN104440,32.08,19,9.49,8.89,0.259,0,1,1,0
TXN111882,124.06,12,1.37,6.19,0.191,0,1,0,0
TXN111175,47.8,8,10.26,4.06,1.822,0,1,1,0
TXN100709,24.74,16,3.84,6.52,1.101,0,0,1,0
TXN105751,345.43,0,17.89,11.22,0.247,0,1,1,0
TXN109802,16.37,12,7.34,0.92,0.347,1,0,0,0
TXN102884,68.19,4,8.89,6.95,0.296,0,1,0,0
TXN105518,209.88,12,3.65,1.77,0.442,0,0,0,0
TXN100726,43.24,23,4.77,1.72,1.541,1,1,1,0
TXN105771,21.41,19,16.17,3.74,1.504,0,1,0,0
TXN109504,7.91,14,9.02,2.0,0.449,1,1,0,0
TXN112655,34.1,4,12.64,7.32,1.471,1,0,0,0
TXN110707,14.66,8,23.14,4.39,1.416,1,1,0,0
TXN108221,22.82,7,5.66,12.67,0.989,1,0,0,0
TXN109563,45.02,6,2.43,6.15,1.362,1,1,1,0
TXN105592,21.69,13,27.9,8.25,1.677,1,0,0,0
TXN109086,17.66,7,9.95,6.38,2.084,0,1,0,0
TXN107444,26.66,12,10.98,0.65,1.257,1,0,0,0
TXN108301,70.81,19,2.81,8.38,0.833,0,1,0,0
TXN114670,17.54,6,0.08,5.75,3.913,1,1,1,1
TXN102747,52.1,11,11.17,10.62,1.497,0,1,0,0
TXN114244,80.08,16,3.53,19.32,1.201,0,0,0,0
TXN112861,42.59,6,1.34,10.62,1.123,1,0,1,0
TXN113419,387.46,8,3.04,18.13,0.9,1,0,1,0
TXN106167,24.27,16,1.21,5.25,1.766,0,1,1,0
TXN110296,23.01,8,1.27,13.17,1.899,0,0,1,0
TXN110691,253.94,5,11.4,13.3,1.452,1,1,1,0
TXN100454,46.05,16,9.05,2.03,0.946,1,0,0,0
TXN102831,34.29,10,16.86,9.38,1.448,1,1,0,0
TXN112288,13.72,14,13.89,2.8,1.953,1,1,1,0
TXN105030,35.36,23,3.8,10.08,0.367,1,1,0,0
TXN104758,124.03,8,12.76,1.01,1.642,1,0,0,0
TXN105258,44.97,8,0.7,6.6,0.944,1,1,0,0
TXN100965,20.64,18,21.99,14.16,0.985,1,1,0,0
TXN104868,47.87,9,0.87,21.01,1.524,1,1,1,0
TXN108495,5.83,12,16.87,2.09,1.226,1,0,0,0
TXN110930,22.02,18,2.21,0.21,2.035,1,1,0,0
TXN108475,33.43,6,4.47,12.63,2.413,1,0,0,0
TXN110235,25.74,1,0.68,3.58,0.979,1,0,0,0
TXN112497,142.05,19,6.3,6.82,0.969,1,1,0,0
TXN101524,5.68,15,10.01,9.52,0.885,0,1,0,0
TXN114307,23.45,5,21.23,1.19,0.988,0,0,1,0
TXN101740,32.57,2,16.03,15.37,1.364,0,0,0,0
TXN103180,126.47,16,9.94,20.37,1.336,1,0,0,0
TXN113766,83.88,0,5.4,3.47,0.472,1,1,0,0
TXN112385,40.39,13,3.71,6.09,1.987,0,1,0,0
TXN102392,14.43,8,13.06,7.12,0.363,0,1,0,0
TXN100466,55.13,11,10.44,5.31,1.745,0,1,1,0
TXN101204,190.79,2,1.98,1.94,0.154,1,1,0,0
TXN101233,32.06,12,10.17,2.45,1.856,1,1,1,0
TXN107824,87.41,16,27.43,3.93,0.313,1,1,0,0
TXN108907,5.48,18,2.94,15.19,0.938,0,1,0,0
TXN113984,19.75,13,17.79,8.61,0.794,1,1,0,0
TXN114443,29.51,6,20.97,2.4,0.99,0,0,0,0
TXN111114,35.43,12,19.47,0.58,0.873,1,1,0,0
TXN113712,30.27,18,3.14,0.48,0.862,0,0,1,0
TXN105381,125.51,8,3.14,1.88,1.028,1,0,1,0
TXN105322,28.89,17,3.88,1.73,1.199,1,1,1,0
TXN109704,23.88,8,7.17,1.92,2.133,1,1,0,0
TXN109064,23.14,13,1.03,8.89,1.254,0,1,0,0
TXN109893,82.51,13,0.46,7.66,0.483,1,1,0,0
TXN102350,10.2,1,28.0,5.87,1.399,1,0,0,0
TXN114811,8.47,10,0.49,4.97,0.697,1,1,1,1
TXN100281,47.66,16,0.15,4.09,2.443,1,1,1,0
TXN110739,46.86,8,15.0,5.9,0.652,1,0,0,0
TXN107699,102.42,15,8.79,7.98,1.358,0,0,1,0
TXN112963,73.77,9,19.77,16.59,0.607,1,1,0,0
TXN110929,95.76,18,1.04,2.05,0.207,1,1,0,0
TXN101175,152.14,9,10.6,20.03,1.476,1,0,1,0
TXN108665,34.88,1,6.19,6.86,0.966,0,1,0,0
TXN114326,32.9,18,1.74,3.9,0.403,0,1,0,0
TXN112614,296.49,12,7.95,7.82,0.296,1,1,0,0
TXN106196,41.75,11,10.33,0.61,0.991,0,1,0,0
TXN106277,64.39,12,7.24,5.25,0.806,1,0,0,0
TXN104184,63.32,13,12.58,11.56,0.884,1,1,0,0
TXN102896,45.06,11,19.89,11.03,0.644,0,1,1,0
TXN111901,102.45,18,3.32,3.96,1.419,1,0,0,0
TXN103360,45.24,18,10.44,8.26,1.165,0,1,0,0
TXN100243,40.48,21,3.42,6.52,1.989,0,0,0,0
TXN101402,39.34,16,17.05,3.41,2.576,1,1,0,0
TXN109945,22.26,17,5.28,14.91,0.701,0,1,0,0
TXN107054,17.18,20,8.45,1.27,1.413,1,0,0,0
TXN107010,94.66,17,26.57,13.38,1.515,1,0,0,0
TXN111754,55.62,21,15.07,1.28,0.986,1,0,0,0
TXN110217,24.63,9,15.13,15.6,0.717,1,1,0,0
TXN109116,1.78,22,18.85,6.46,1.136,1,1,0,0
TXN112930,10.74,21,9.35,5.37,0.283,1,1,1,0
TXN101878,14.59,18,10.76,9.43,1.453,1,1,0,0
TXN102924,41.16,20,13.72,2.56,0.131,1,0,0,0
TXN109873,72.19,10,14.42,2.37,0.335,0,1,0,0
TXN114807,50.58,1,31.85,31.24,1.937,1,1,1,1
TXN101698,21.81,23,6.47,0.54,1.14,1,1,0,0
TXN112355,70.25,14,2.38,1.85,1.441,1,0,1,0
TXN101553,38.59,8,6.0,7.76,0.195,1,1,1,0
TXN107638,54.53,14,9.6,5.31,1.256,1,1,1,0
TXN104130,65.18,19,2.8,3.03,1.889,0,0,0,0
TXN101769,87.32,5,8.34,1.76,1.144,1,1,1,0
TXN109311,16.14,21,3.6,0.24,1.289,0,1,1,0
TXN111105,20.39,8,3.16,13.73,1.501,1,1,0,0
TXN113620,19.03,14,2.38,9.3,0.496,1,1,0,0
TXN113756,45.47,11,1.21,14.66,1.751,1,0,0,0
TXN108602,14.12,6,3.62,3.26,0.586,1,0,1,0
TXN105237,23.8,20,0.15,5.81,1.852,1,1,0,0
TXN104212,54.07,5,11.79,3.56,1.369,0,1,0,0
TXN113962,63.87,11,6.39,7.49,1.238,1,0,1,0
TXN104064,36.1,13,3.15,1.61,1.019,0,0,0,0
TXN101502,68.26,4,4.06,10.86,2.668,0,0,1,0
TXN112402,99.36,8,14.64,1.36,1.458,0,1,1,0
TXN106519,294.1,15,3.49,6.95,1.469,1,1,1,0
TXN103047,27.15,5,27.81,3.51,1.051,0,1,0,0
TXN108438,145.19,19,1.85,11.31,0.697,1,1,1,0
TXN109583,47.87,14,17.53,4.91,0.321,0,1,1,0
TXN111258,6.5,14,0.72,3.92,0.131,0,0,1,0
TXN112513,14.78,13,5.41,12.5,1.16,0,0,0,0
TXN100873,56.58,12,1.62,17.08,0.226,1,1,0,0
TXN101272,32.36,17,8.79,1.98,2.008,1,0,0,0
TXN114429,77.06,15,3.53,9.11,1.789,1,1,1,0
TXN103865,48.36,20,0.85,11.52,1.065,0,1,0,0
TXN104041,16.88,15,14.72,10.07,1.036,0,1,1,0
TXN100047,73.44,2,12.97,10.2,0.888,1,1,0,0
TXN102456,20.4,7,1.73,12.61,1.221,1,1,0,0
TXN100122,72.9,16,6.84,2.08,1.895,0,1,0,0
TXN100538,24.28,18,6.36,2.2,0.244,1,1,0,0
TXN108595,40.15,14,15.75,9.62,2.095,1,1,0,0
TXN101065,95.47,17,6.59,8.76,0.335,1,1,0,0
TXN102736,42.18,16,3.67,8.24,1.217,0,1,0,0
TXN105332,116.84,17,5.16,9.33,1.586,1,1,0,0
TXN113992,263.78,7,13.73,18.74,0.181,0,1,1,0
TXN111350,25.02,14,5.08,2.89,0.331,1,1,0,0
TXN112675,44.65,17,10.62,5.95,0.609,1,1,0,0
TXN100143,180.75,5,4.21,6.76,0.294,0,1,0,0
TXN104262,124.05,23,16.72,2.72,0.359,1,1,0,0
TXN109416,33.89,20,6.66,9.41,0.975,1,1,1,0
TXN111412,8.06,12,5.82,4.17,1.017,1,0,0,0
TXN105475,9.08,17,0.91,11.31,0.767,1,1,0,0
TXN114779,8.51,18,53.39,30.47,2.238,1,1,1,1
TXN106471,9.87,21,7.9,9.25,1.75,1,0,0,0
TXN104452,16.91,7,8.37,8.49,0.037,1,0,1,0
TXN101050,27.43,19,6.72,9.72,1.315,1,1,1,0
TXN111564,11.62,2,1.78,4.7,1.803,0,1,0,0
TXN102547,27.52,12,10.18,8.29,1.34,0,1,0,0
TXN113382,8.83,13,11.64,6.11,1.366,1,0,0,0
TXN109862,30.98,0,2.41,3.83,1.255,1,0,0,0
TXN113202,25.68,12,3.08,6.83,2.042,1,1,0,0
TXN111774,12.96,16,2.29,5.45,1.567,1,1,0,0
TXN100313,69.08,18,10.67,12.82,1.42,1,1,1,0
TXN107677,24.97,17,7.97,1.2,1.704,1,1,1,0
TXN110715,98.93,0,19.21,9.16,1.551,1,1,0,0
TXN107117,27.47,4,11.86,4.28,0.513,0,1,0,0
TXN107747,18.05,9,9.5,2.46,1.016,1,1,1,0
TXN107698,73.1,6,5.54,14.42,2.14,0,1,0,0
TXN105436,34.82,13,5.35,6.38,0.987,0,0,0,0
TXN106945,14.89,15,21.39,3.51,1.399,1,1,0,0
TXN113463,106.31,11,0.67,3.2,1.385,1,0,1,0
TXN103854,7.27,8,7.32,13.73,1.034,1,1,0,0
TXN110331,163.52,14,11.57,10.02,0.523,1,1,0,0
TXN101862,48.41,11,17.1,4.27,1.154,0,1,0,0
TXN113680,38.79,12,13.12,2.83,0.775,1,1,1,0
TXN104964,54.61,2,13.06,1.44,1.17,1,1,0,0
TXN101890,283.55,11,1.05,12.69,0.968,1,0,1,0
TXN110916,30.25,1,17.79,1.97,1.32,1,1,0,0
TXN102894,8.26,6,16.41,2.26,0.696,1,1,1,0
TXN112170,37.96,20,5.22,5.41,1.031,1,0,1,0
TXN103512,10.46,8,1.89,12.83,2.016,1,1,1,0
TXN108028,35.92,23,19.01,4.04,1.788,0,1,0,0
TXN101852,8.17,13,18.93,19.75,1.315,0,1,0,0
TXN111652,11.62,14,10.77,3.86,1.569,1,1,0,0
TXN105074,115.61,13,15.67,4.53,1.284,1,1,0,0
TXN104480,43.99,10,4.25,8.84,1.862,1,1,1,0
TXN113572,15.55,7,14.48,7.17,0.25,1,1,0,0
TXN104390,28.12,7,1.19,0.91,1.255,1,0,0,0
TXN107455,13.82,11,1.74,1.09,1.481,0,1,1,0
TXN113264,15.86,10,10.96,17.18,0.494,0,1,0,0
TXN105084,29.77,7,23.49,1.89,0.692,1,1,1,0
TXN112804,73.67,19,10.38,6.02,0.814,1,1,1,0
TXN113470,43.06,17,18.71,8.07,0.746,1,1,0,0
TXN102516,29.45,10,14.07,13.3,1.548,1,0,0,0
TXN110474,5.95,22,1.62,3.82,1.826,0,1,0,0
TXN112122,81.23,14,2.51,6.7,1.751,1,1,1,0
TXN108970,87.35,14,10.8,1.32,1.628,0,0,0,0
TXN103403,48.64,12,18.38,3.59,0.808,1,0,1,0
TXN109307,302.06,15,2.38,5.14,0.806,1,1,0,0
TXN106779,22.79,6,9.8,3.72,0.785,1,1,0,0
TXN100879,23.27,10,6.21,8.62,1.007,0,1,0,0
TXN111865,44.0,13,0.58,1.53,0.813,0,1,0,0
TXN111543,35.71,18,22.64,6.62,0.625,1,1,1,0
TXN101628,17.86,7,22.87,4.06,1.312,1,1,0,0
TXN111289,132.59,15,3.15,13.84,2.24,1,1,0,0
TXN102812,47.28,9,3.66,10.05,1.74,1,1,0,0
TXN114556,106.77,17,5.31,1.97,0.532,1,1,1,0
TXN109978,8.77,16,5.2,4.44,0.937,1,1,0,0
TXN110314,27.62,15,9.3,5.27,0.617,0,1,0,0
TXN107922,90.97,14,8.05,14.0,1.339,1,1,0,0
TXN100151,32.2,7,24.07,12.05,0.716,1,1,0,0
TXN108578,17.69,9,8.71,0.87,1.555,1,1,1,0
TXN108137,85.67,14,1.33,4.83,0.477,0,0,0,0
TXN107942,17.1,18,16.15,7.04,0.533,0,1,1,0
TXN111156,125.03,12,3.76,5.25,1.434,1,0,0,0
TXN109002,3.4,14,12.16,0.95,0.594,1,1,0,0
TXN104018,224.53,12,7.03,16.01,1.275,0,1,0,0
TXN114923,177.99,21,54.74,21.2,2.72,0,1,1,1
TXN109982,18.61,10,2.94,1.83,1.636,1,0,0,0
TXN101109,11.8,1,8.91,4.93,0.324,1,0,0,0
TXN113469,11.59,17,0.12,0.67,0.962,0,1,1,0
TXN105278,43.64,15,3.39,0.54,1.55,1,0,0,0
TXN113564,30.1,1,0.94,10.46,2.166,1,0,1,0
TXN110520,48.2,20,16.73,4.51,1.31,1,0,0,0
TXN112829,18.99,14,9.77,6.16,0.321,0,0,1,0
TXN106821,44.03,13,11.85,5.19,1.416,1,1,1,0
TXN109222,7.89,20,4.09,7.27,0.622,1,1,1,0
TXN102804,70.25,7,6.46,9.59,1.652,1,0,0,0
TXN109969,305.72,17,7.41,6.54,0.875,1,0,0,0
TXN107452,28.28,22,9.11,2.29,0.9,1,1,0,0
TXN108652,129.76,21,5.8,9.76,1.473,1,1,0,0
TXN109918,7.52,18,11.68,5.26,0.469,1,0,0,0
TXN108940,6.27,9,5.09,4.95,1.357,1,1,0,0
TXN103017,82.79,8,4.5,0.22,1.591,0,1,0,0
TXN112297,312.71,10,11.87,6.2,0.934,1,0,1,0
TXN108277,12.85,4,19.74,15.34,0.613,0,0,0,0
TXN105320,70.05,12,27.14,11.3,1.37,1,0,1,0
TXN105537,23.21,9,5.46,0.09,0.801,1,1,0,0
TXN111251,75.82,23,25.3,3.91,1.009,1,0,0,0
TXN106808,24.36,17,6.63,1.82,1.218,1,1,0,0
TXN110978,22.19,16,0.8,14.77,0.766,0,1,1,0
TXN109533,9.73,0,18.94,7.01,0.6,0,1,1,0
TXN106869,123.31,17,16.0,2.84,0.51,0,0,0,0
TXN107065,97.79,19,0.14,17.06,1.795,1,1,1,0
TXN108579,7.52,19,0.35,4.21,1.842,0,1,0,0
TXN103659,98.58,7,3.88,3.87,1.282,1,1,1,0
TXN113803,40.72,19,4.93,10.75,0.451,1,1,0,0
TXN107175,23.15,11,7.45,14.99,1.951,0,0,1,0
TXN100049,26.48,2,9.71,3.68,0.113,1,1,1,0
TXN113577,124.07,9,5.98,0.69,1.181,1,1,0,0
TXN101436,13.36,6,6.47,7.4,0.788,1,1,0,0
TXN109575,4.34,7,12.24,14.09,1.172,0,1,0,0
TXN112638,106.74,0,3.94,3.17,1.847,1,1,0,0
TXN107859,90.33,13,1.56,11.14,1.385,1,1,1,0
TXN110062,24.18,13,20.24,2.17,1.451,0,1,1,0
TXN107948,52.54,11,6.49,14.6,1.046,1,0,0,0
TXN104599,20.39,14,1.95,6.13,0.171,1,1,0,0
TXN104971,21.23,14,26.65,13.28,0.95,1,0,0,0
TXN110892,319.45,17,4.29,6.04,1.257,1,1,0,0
TXN102130,80.46,7,6.72,7.12,0.434,0,1,0,0
TXN102061,3.67,21,7.49,18.48,0.859,1,1,0,0
TXN102793,45.01,14,2.03,3.97,0.976,1,1,0,0
TXN107877,152.07,15,10.06,8.08,0.291,1,1,0,0
TXN111978,83.97,11,10.29,3.87,0.788,1,0,0,0
TXN104483,79.25,2,16.7,7.47,0.423,1,1,1,0
TXN105539,10.65,11,10.0,8.32,1.078,1,1,1,0
TXN108330,167.45,18,7.05,17.52,1.816,1,1,0,0
TXN111033,58.98,13,5.2,13.11,0.981,1,0,0,0
TXN106871,1.45,6,8.77,8.36,1.674,1,1,0,0
TXN114765,28.81,17,51.96,33.43,2.542,1,1,1,1
TXN110380,83.19,19,10.81,1.7,1.137,1,1,0,0
TXN102335,15.91,11,7.19,4.3,2.2,1,1,1,0
TXN101455,9.11,11,8.06,8.99,1.094,1,1,0,0
TXN113273,136.06,6,17.51,1.91,0.859,0,1,0,0
TXN101012,68.57,20,25.3,5.43,0.931,0,1,0,0
TXN100902,40.37,20,3.12,3.09,1.035,1,1,0,0
TXN110574,25.6,5,18.06,0.42,1.377,1,1,1,0
TXN104913,123.02,16,7.37,15.68,0.769,1,1,1,0
TXN100942,22.11,12,11.48,2.67,0.867,1,1,0,0
TXN109234,77.34,8,14.98,15.7,0.905,1,1,0,0
TXN100528,29.51,18,10.04,4.8,0.936,1,1,0,0
TXN108399,155.22,1,22.75,2.96,2.016,1,0,1,0
TXN106156,29.51,19,8.08,12.92,0.686,1,1,1,0
TXN108083,103.69,8,4.12,0.1,1.269,0,1,0,0
TXN105473,29.51,13,14.03,4.46,0.703,1,0,0,0
TXN111566,55.88,12,7.43,5.84,1.055,1,1,1,0
TXN102320,38.26,3,6.36,2.84,0.163,1,0,1,0
TXN110140,4.19,6,12.15,1.28,0.71,1,1,0,0
TXN100574,382.96,19,6.24,1.15,0.542,1,1,0,0
TXN101282,99.08,18,6.37,0.55,0.856,1,0,0,0
TXN106697,24.03,1,17.94,3.87,1.848,1,1,0,0
TXN111126,18.05,5,5.82,4.12,1.16,1,0,0,0
TXN104867,42.67,15,7.57,8.73,1.062,1,1,1,0
TXN104385,101.62,19,19.83,3.3,1.316,0,1,0,0
TXN105909,7.27,16,1.61,0.15,1.151,0,0,0,0
TXN107816,15.83,9,8.73,3.28,0.321,1,0,0,0
TXN110438,22.85,12,1.02,3.13,0.353,1,1,0,0
TXN109176,251.86,8,15.95,17.04,1.032,0,1,1,0
TXN109689,30.74,7,0.18,5.85,1.176,1,0,1,0
TXN104958,7.07,0,9.8,7.95,1.365,1,1,0,0
TXN107618,91.62,18,0.56,10.29,1.072,1,0,0,0
TXN109423,11.33,2,5.77,10.2,1.568,1,1,0,0
TXN106645,108.88,1,14.5,3.51,1.507,1,0,1,0
TXN113850,50.35,15,17.53,9.09,1.409,0,1,0,0
TXN103881,16.41,0,12.1,5.04,0.562,1,0,1,0
TXN100535,7.7,19,9.66,2.63,0.895,1,1,0,0
TXN100923,22.77,14,9.94,4.1,1.292,1,1,0,0
TXN114895,2191.96,14,29.19,4.37,1.0,0,0,0,1
TXN108187,145.24,18,17.71,9.01,0.475,1,1,0,0
TXN100297,54.83,14,10.67,12.43,1.037,1,1,0,0
TXN109136,34.61,16,0.92,6.64,0.95,1,1,0,0
TXN107064,269.3,14,6.43,9.6,0.924,1,0,0,0
TXN105904,32.22,8,3.71,6.35,1.787,0,0,0,0
TXN102405,61.21,14,8.65,6.85,1.409,1,0,0,0
